0,1,156.82,291.38,93.37,242.32,0.88,-1,-1,-1
0,2,794.25,316.80,74.70,184.95,0.88,-1,-1,-1
0,3,9.96,342.00,190.29,435.60,0.87,-1,-1,-1
0,4,745.20,307.57,46.80,139.50,0.87,-1,-1,-1
0,5,165.37,289.57,172.35,460.12,0.86,-1,-1,-1
0,6,710.55,297.22,52.20,158.40,0.85,-1,-1,-1
0,7,826.65,281.70,158.85,439.20,0.85,-1,-1,-1
0,8,591.75,283.27,182.70,450.22,0.85,-1,-1,-1
0,9,242.77,350.32,170.10,473.17,0.83,-1,-1,-1
0,10,1031.40,301.05,153.00,332.10,0.83,-1,-1,-1
0,11,936.90,275.17,75.60,201.82,0.82,-1,-1,-1
0,12,796.50,395.55,441.00,806.85,0.82,-1,-1,-1
0,13,29.84,312.52,31.58,82.80,0.78,-1,-1,-1
0,14,291.15,306.67,69.30,193.72,0.78,-1,-1,-1
0,15,879.75,287.10,71.55,220.50,0.75,-1,-1,-1
0,16,120.37,173.70,738.22,1360.80,0.74,-1,-1,-1
1,1,147.11,292.43,100.04,245.31,0.89,-1,-1,-1
1,2,796.58,319.21,76.28,181.47,0.87,-1,-1,-1
1,3,9.68,346.01,202.75,427.88,0.85,-1,-1,-1
1,4,746.35,307.45,48.38,140.31,0.88,-1,-1,-1
1,5,165.91,290.25,169.57,445.19,0.88,-1,-1,-1
1,6,711.30,300.03,52.22,152.58,0.87,-1,-1,-1
1,7,825.87,284.10,155.78,426.80,0.85,-1,-1,-1
1,8,594.04,284.91,179.63,460.47,0.88,-1,-1,-1
1,9,236.59,374.04,158.05,411.77,0.82,-1,-1,-1
1,10,1028.32,301.11,114.00,331.38,0.83,-1,-1,-1
1,11,936.14,274.65,83.43,215.73,0.84,-1,-1,-1
1,12,788.69,399.15,425.50,770.70,0.79,-1,-1,-1
1,13,26.83,314.38,32.96,82.04,0.78,-1,-1,-1
1,14,285.37,308.52,67.37,193.96,0.75,-1,-1,-1
1,15,886.01,287.75,70.01,226.60,0.77,-1,-1,-1
1,16,102.64,175.71,726.33,1375.53,0.69,-1,-1,-1
1,17,1071.90,297.67,84.60,249.52,0.84,-1,-1,-1
1,18,547.20,281.47,108.00,322.42,0.83,-1,-1,-1
2,1,142.64,293.27,100.22,243.40,0.86,-1,-1,-1
2,2,799.47,321.29,77.22,187.44,0.85,-1,-1,-1
2,3,10.71,349.10,196.16,427.31,0.86,-1,-1,-1
2,4,747.64,308.19,49.32,140.81,0.88,-1,-1,-1
2,5,165.16,289.96,173.09,441.95,0.87,-1,-1,-1
2,6,710.42,302.34,54.30,151.23,0.87,-1,-1,-1
2,7,822.95,286.36,156.59,428.97,0.83,-1,-1,-1
2,8,594.48,285.05,177.61,478.10,0.88,-1,-1,-1
